budget,industry,target_age_group,campaign_goal,impressions,clicks,conversions,engagement_rate,cost_per_click,best_platform
9580.02,Food,18-24,Lead Generation,1122058,75855,6284,0.0681,0.13,YouTube Shorts
1518.93,Food,45-54,Conversion,141470,1837,129,0.0153,0.83,LinkedIn
21881.28,Healthcare,13-17,Lead Generation,2057969,8959,508,0.0056,2.44,Twitter
25954.6,Fashion,35-44,Engagement,2005472,139266,10994,0.0724,0.19,Pinterest
12430.76,Tech,35-44,Engagement,1126186,61963,3521,0.057,0.2,LinkedIn
15929.7,Real Estate,25-34,Engagement,1401063,38008,4821,0.0234,0.42,Instagram
2738.75,Travel,35-44,Engagement,203221,7748,628,0.0404,0.35,Pinterest
40208.75,Education,13-17,Lead Generation,3251701,70722,3117,0.0296,0.57,Twitter
35489.44,Automotive,18-24,Conversion,2851995,234672,37318,0.0806,0.15,YouTube Shorts
36615.51,E-commerce,25-34,Lead Generation,3663490,184522,17381,0.0486,0.2,Instagram
12181.25,Services,35-44,Traffic,858981,20827,1202,0.0235,0.58,Facebook
25674.25,Food,55+,Lead Generation,1606545,25238,1889,0.0197,1.02,Facebook
8480.45,Automotive,25-34,Conversion,868167,111851,14829,0.1276,0.08,YouTube Shorts
16555.08,Food,35-44,Conversion,1343668,55749,1882,0.0372,0.3,Twitter
43106.16,Food,35-44,Lead Generation,3887433,0,0,0.001,43106.16,Facebook
16498.55,Real Estate,13-17,Conversion,1366127,26151,1138,0.0234,0.63,Twitter
15393.48,Tech,13-17,Conversion,1208555,133287,16015,0.1136,0.12,YouTube Shorts
12358.31,E-commerce,25-34,Awareness,1049088,28571,1628,0.0234,0.43,LinkedIn
12486.92,Real Estate,18-24,Conversion,1057289,135920,14193,0.1225,0.09,TikTok
25655.84,Education,45-54,Engagement,2510745,61327,2512,0.0208,0.42,Facebook
32436.05,Fashion,13-17,Engagement,3511170,259489,27795,0.0778,0.12,YouTube Shorts
11813.23,Healthcare,13-17,Conversion,1071064,118642,16617,0.1105,0.1,YouTube Shorts
