platform,impressions,clicks,conversions,spend,engagement_rate
Facebook,10000,500,50,200,0.05
Instagram,12000,600,60,250,0.05
Twitter,8000,300,20,150,0.0375
LinkedIn,5000,150,15,300,0.03
Google,15000,1000,100,500,0.0667
TikTok,20000,2000,150,400,0.1
Facebook,11000,550,55,220,0.05
Instagram,13000,650,65,270,0.05
Twitter,7000,250,15,140,0.0357
LinkedIn,6000,180,18,350,0.03
Google,14000,900,90,450,0.0643
TikTok,18000,1800,140,380,0.1
Facebook,9000,450,45,180,0.05
Instagram,11000,550,55,230,0.05
Twitter,9000,350,25,160,0.0389
LinkedIn,4000,120,12,280,0.03
Google,16000,1100,110,550,0.0688
TikTok,22000,2200,160,420,0.1
